No.,Link Location,Last Mile,Link ID,Package,Capacity,Monthly Ex,Quaterly EX,SLA Date,VAT,TOTAL,SLM Comments
45,KENYA REVENUE AUTHORITY-SWAN CENTER KISUMU,,BV000826,BC Quarterly,62 Mbps,140000,420000,44980.0,67200,487200,
46,KENYA REVENUE AUTHORITY_TAITA TAVETA ,,BV003920,Lite leased line ,20 Mbps,35000,105000,44980.0,16800,121800,
47,KENYA REVENUE AUTHORITY_THIKA ,,BV000829,BC Quarterly,30 Mbps,70000,210000,44980.0,33600,243600,
48,KENYA REVENUE AUTHORITY_THIKA KVM ,,BV003024,BC Quarterly,10 Mbps,30000,90000,44980.0,14400,104400,
49,KENYA REVENUE AUTHORITY_VOI ,,BV000841,BC Quarterly,25 Mbps,57000,171000,44980.0,27360,198360,
50,KRA CBC BACKHAUL UPPERHILL ,,BV002523,BC Quarterly,100 Mbps,95000,285000,44980.0,45600,330600,
51,KRA CBC BACKHAUL UPPERHILL_BACKUP ,,BV003050,BC Quarterly,20 Mbps,0,0,44980.0,0,0,
52,KENYA REVENUE AUTHORITY_ISEBANIA OSBP,,BV003919,BC Quarterly,20 Mbps,35000,105000,44980.0,16800,121800,
55,KENYA REVENUE AUTHORITY_ WAJIR,,BV003998,BC Quarterly,20 Mbps,40000,120000,44980.0,19200,139200,
56,KENYA REVENUE AUTHORITY_MANDERA,,BV003999,BC Quarterly,20 Mbps,40000,120000,44980.0,19200,139200,
57,KENYA REVENUE AUTHORITY_ WEBUYE RRU,,BV003974,BC Quarterly,10 Mbps,20000,60000,45153.0,9600,69600,
58,KENYA REVENUE AUTHORITY_ SIAYA,,BV004035,BC Quarterly,20 Mbps,40000,120000,45153.0,19200,139200,
59,KENYA REVENUE AUTHORITY_ MARSABIT,,BV004092,BC Quarterly,10 Mbps,20000,60000,45153.0,9600,69600,
60,KENYA REVENUE AUTHORITY_ KAPSABET,,BV004183,BC Quarterly,10 Mbps,20000,60000,45153.0,9600,69600,
61,KENYA REVENUE AUTHORITY_OLOITOKTOK,,BV004185,BC Quarterly,20 Mbps,40000,120000,45153.0,19200,139200,
62,KENYA REVENUE AUTHORITY_KABARNET,,BV004207,BC Quarterly,10 Mbps,20000,60000,45153.0,9600,69600,
63,KENYA REVENUE AUTHORITY_KAPENGURIA,,BV004208,BC Quarterly,10 Mbps,20000,60000,45153.0,9600,69600,
Total,,,,,,4186000,12645000,,2023200,14668200,
